category,rating,timestamp,price,platform,location
Movies,2.0,2023-05-15,369.55,Web,Africa
Electronics,1.4,2023-08-19,255.15,Web,Africa
Sports,2.7,2024-03-27,296.69,Web,Europe
Movies,1.6,2023-12-03,55.59,Tablet,North America
Games,3.4,2023-02-06,366.22,Web,South America
Movies,4.3,2024-09-17,443.3,Smart TV,Africa
Books,1.2,2023-08-14,387.67,Web,Europe
Movies,2.8,2024-01-01,85.51,Smart TV,Europe
Books,3.4,2023-06-17,269.4,Mobile App,Europe
Movies,5.0,2024-10-09,345.64,Mobile App,Australia
Electronics,1.9,2023-01-25,403.5,Tablet,Asia
Games,1.9,2024-05-18,200.84,Tablet,Europe
Music,4.0,2024-06-27,135.06,Tablet,Africa
Music,5.0,2023-05-14,257.22,Web,North America
Clothing,4.2,2024-02-29,300.22,Tablet,South America
Sports,2.0,2024-07-12,431.09,Web,Australia
Sports,4.0,2024-10-10,173.39,Smart TV,South America
Electronics,4.8,2023-09-19,486.08,Mobile App,Africa
Movies,4.4,2024-05-26,306.44,Mobile App,Asia
Sports,4.7,2024-08-28,165.46,Web,North America
Movies,2.0,2023-08-27,439.61,Web,North America
Books,4.9,2024-06-21,384.09,Mobile App,Australia
Sports,1.7,2024-06-16,436.85,Tablet,Europe
Music,3.9,2024-02-05,497.6,Smart TV,South America
Books,2.0,2023-02-27,172.35,Mobile App,Africa
Books,3.8,2023-02-22,118.33,Web,Asia
Music,2.1,2024-05-04,111.05,Mobile App,Australia
Beauty,2.0,2024-04-21,404.71,Mobile App,North America
Home,2.4,2024-02-17,236.18,Web,Australia
Home,3.9,2023-04-14,128.08,Mobile App,Africa
Home,1.7,2024-04-10,128.65,Web,South America
Electronics,3.6,2024-06-29,418.83,Web,Europe
Beauty,2.9,2024-02-07,451.71,Mobile App,South America
Movies,4.7,2024-04-02,146.2,Tablet,Europe
Music,4.9,2024-08-08,369.19,Web,Australia
Electronics,3.3,2024-05-21,460.1,Mobile App,North America
Clothing,1.3,2023-03-03,339.23,Mobile App,South America
Music,3.3,2023-02-02,311.59,Tablet,Australia
Sports,2.3,2023-09-17,106.11,Smart TV,Europe
Clothing,3.7,2023-10-27,231.33,Web,North America
Books,1.3,2023-07-30,255.41,Mobile App,Asia
Music,2.5,2023-06-03,221.9,Smart TV,Africa
Sports,2.2,2024-11-02,56.28,Mobile App,Asia
Books,4.0,2023-06-01,139.81,Mobile App,Australia
Movies,3.0,2023-09-07,453.14,Web,North America
Movies,1.2,2023-11-30,386.7,Smart TV,Europe
Home,3.2,2023-04-17,42.25,Mobile App,Africa
Games,3.3,2023-05-24,217.74,Web,Asia
Electronics,4.6,2023-07-27,342.62,Web,Asia
Home,4.9,2023-05-31,463.25,Mobile App,Europe
Home,1.1,2023-11-29,392.28,Tablet,Australia
Clothing,4.1,2023-04-13,194.36,Web,South America
Beauty,2.4,2023-08-14,115.35,Mobile App,South America
Books,4.9,2023-10-05,178.82,Tablet,Australia
Electronics,1.5,2023-09-17,93.39,Smart TV,North America
Home,2.4,2023-11-10,221.01,Web,South America
Movies,1.2,2024-03-14,5.84,Mobile App,Asia
Games,3.5,2024-11-02,424.77,Smart TV,Africa
Home,2.3,2024-12-06,151.35,Mobile App,Europe
Home,3.7,2023-06-20,309.68,Smart TV,South America
Electronics,2.2,2023-07-27,217.79,Smart TV,South America
Music,3.0,2023-06-15,331.13,Smart TV,Africa
Music,3.7,2023-08-11,404.25,Mobile App,North America
Beauty,3.4,2023-03-08,230.43,Mobile App,Australia
Home,2.0,2024-10-25,345.37,Web,South America
Sports,2.9,2024-07-16,128.35,Web,South America
Beauty,3.7,2024-07-18,299.75,Tablet,Africa
Sports,2.8,2023-06-04,373.11,Tablet,South America
Music,4.4,2023-10-03,384.08,Tablet,Australia
Beauty,1.3,2023-10-12,121.07,Smart TV,Asia
Clothing,1.6,2024-01-20,348.51,Mobile App,North America
Games,3.2,2024-02-22,35.82,Tablet,South America
Electronics,4.4,2024-08-04,193.29,Web,Asia
Home,4.4,2024-02-26,271.42,Mobile App,South America
Home,2.9,2024-01-26,171.38,Tablet,Australia
Beauty,4.7,2024-09-21,269.39,Tablet,Africa
Electronics,1.3,2024-03-06,72.17,Tablet,Europe
Home,2.3,2024-04-02,166.79,Tablet,Asia
Books,2.9,2024-06-28,30.78,Smart TV,Europe
Electronics,4.0,2023-09-03,103.68,Web,Africa
Clothing,2.9,2023-04-20,284.16,Mobile App,South America
Games,1.7,2024-09-05,482.05,Web,Europe
Electronics,4.7,2024-08-04,340.29,Tablet,South America
Music,1.4,2023-10-28,425.9,Web,Africa
Sports,2.7,2024-01-07,39.13,Smart TV,North America
Beauty,1.4,2023-12-29,319.61,Tablet,Australia
Clothing,3.9,2024-10-20,138.69,Tablet,South America
Movies,2.3,2023-09-01,416.21,Web,Asia
Beauty,3.3,2024-11-07,192.6,Web,South America
Beauty,1.8,2023-09-14,173.47,Smart TV,Africa
Music,1.3,2024-02-13,246.85,Mobile App,Australia
Beauty,2.8,2023-01-10,51.06,Mobile App,South America
Games,2.9,2024-06-19,175.16,Smart TV,Asia
Movies,2.0,2023-04-26,362.04,Smart TV,North America
Clothing,1.8,2024-05-02,141.87,Smart TV,North America
Music,2.4,2023-10-29,12.0,Mobile App,Asia
Electronics,3.2,2024-12-07,472.32,Tablet,North America
Movies,2.9,2024-03-19,173.65,Web,Asia
Books,2.6,2023-03-09,290.63,Web,Europe
Movies,1.3,2023-09-04,63.63,Tablet,Africa
Music,4.1,2024-01-17,228.0,Tablet,Asia
Movies,3.3,2023-02-23,306.77,Web,Europe
Books,1.6,2023-06-19,278.24,Mobile App,North America
Beauty,2.2,2023-08-18,147.61,Smart TV,Australia
Music,4.7,2024-09-24,296.95,Mobile App,South America
Music,3.6,2023-09-22,414.18,Web,North America
Movies,3.4,2024-07-28,460.99,Tablet,North America
Movies,3.8,2023-09-28,252.73,Tablet,South America
Electronics,4.6,2023-11-19,303.84,Web,North America
Electronics,5.0,2024-11-11,411.6,Web,Europe
Beauty,4.7,2023-06-27,498.49,Tablet,Australia
Books,2.9,2024-02-15,169.99,Web,Europe
Beauty,2.2,2024-02-07,407.72,Web,South America
Movies,2.3,2024-02-10,433.13,Web,Australia
Home,1.2,2024-06-06,184.08,Tablet,Australia
Electronics,1.8,2024-07-08,69.85,Smart TV,South America
Electronics,4.9,2024-09-07,400.66,Mobile App,Asia
Sports,2.6,2023-08-11,496.17,Web,South America
Clothing,3.0,2023-10-18,256.89,Smart TV,South America
Music,2.8,2023-05-21,194.88,Mobile App,North America
Home,2.4,2024-05-26,137.25,Web,Asia
Beauty,4.5,2024-03-25,271.6,Smart TV,Asia
